team,wage_spend_millions,points,league_position,points_per_million,spend_rank,performance_rank,overperformance_score
Manchester City,215.54,71,3,0.33,1,3,2
Manchester United,183.04,42,15,0.23,2,15,13
Chelsea,172.77,69,4,0.4,3,4,1
Arsenal,172.15,74,2,0.43,4,2,-2
Liverpool,128.8,84,1,0.65,5,1,-4
Aston Villa,106.89,66,6,0.62,6,5,-1
Tottenham Hotspur,104.81,38,17,0.36,7,17,10
Newcastle United,102.23,66,5,0.65,8,5,-3
West Ham United,92.56,43,14,0.46,9,14,5
Everton,71.42,48,13,0.67,10,13,3
Fulham,68.41,54,11,0.79,11,11,0
Crystal Palace,67.31,53,12,0.79,12,12,0
Nottingham Forest,66.46,65,7,0.98,13,7,-6
Leicester City,65.42,25,18,0.38,14,18,4
Brighton,59.2,61,8,1.03,15,8,-7
Wolves,55.56,42,16,0.76,16,15,-1
Southampton,50.21,12,20,0.24,17,20,3
Bournemouth,49.5,56,9,1.13,18,9,-9
Brentford,42.77,56,10,1.31,19,9,-10
Ipswich Town,33.96,22,19,0.65,20,19,-1
