team,wage_spend_millions,season
Manchester City,215.54,2024-25
Manchester United,183.04,2024-25
Chelsea,172.77,2024-25
Arsenal,172.15,2024-25
Liverpool,128.8,2024-25
Aston Villa,106.89,2024-25
Tottenham Hotspur,104.81,2024-25
Newcastle United,102.23,2024-25
West Ham United,92.56,2024-25
Everton,71.42,2024-25
Fulham,68.41,2024-25
Crystal Palace,67.31,2024-25
Nottingham Forest,66.46,2024-25
Leicester City,65.42,2024-25
Brighton,59.2,2024-25
Wolves,55.56,2024-25
Southampton,50.21,2024-25
Bournemouth,49.5,2024-25
Brentford,42.77,2024-25
Ipswich Town,33.96,2024-25
